strategy,run,agentCount,elapsedTimeSeconds,initialTrashMass,collectedTrashMass,remainingTrashMass,collectionRate,totalTravelDistanceMeters,totalIdleTimeSeconds,midpointIdleRate,averageZoneImbalance,finalZoneImbalance,allTrashCollected
random,0,20,1800.0,1410,1007,403,0.7141843971631205,40669.800196234246,0.0,0.00704772475027747,1076.7116415391845,397.7735802469135,False
trash_priority,0,20,1800.0,1410,1038,372,0.7361702127659574,40640.021459521224,0.0,0.00632630410654828,660.2973312441712,373.7558888888889,False
uniform,0,20,1800.0,1410,998,412,0.7078014184397163,40675.045224444315,0.0,0.008712541620421755,1583.3354109376821,207.86228888888888,False
random,1,20,1800.0,1340,949,391,0.7082089552238806,40710.99644263423,0.0,0.0057713651498335185,1074.828793991996,253.3928344671202,False
trash_priority,1,20,1800.0,1340,982,358,0.7328358208955223,40614.888254867285,0.0,0.007214206437291898,638.4154868767064,213.24299823633157,False
uniform,1,20,1800.0,1340,931,409,0.6947761194029851,40735.56969355611,0.0,0.007269700332963375,1424.5052186247206,463.5392945326279,False
random,2,20,1800.0,1417,1010,407,0.7127734650670431,40605.37891042048,0.0,0.0069367369589345175,1562.0361556738917,614.5525485008818,False
trash_priority,2,20,1800.0,1417,1018,399,0.7184191954834157,40573.433967737124,0.0,0.004384017758046615,615.4564154139333,358.0098765432098,False
uniform,2,20,1800.0,1417,987,430,0.6965419901199718,40595.95910012343,0.0,0.004938956714761376,1335.0850244500655,330.69040000000007,False
random,3,20,1800.0,1284,922,362,0.7180685358255452,40611.92454216583,0.0,0.011709211986681466,1665.5440244089361,199.53950617283948,False
trash_priority,3,20,1800.0,1284,1005,279,0.7827102803738317,40449.332115837125,0.0,0.005993340732519423,417.43823035706737,156.29708504801098,False
uniform,3,20,1800.0,1284,978,306,0.7616822429906542,40472.549054120136,0.0,0.006548279689234184,771.647100187487,155.47174603174602,False
random,4,20,1800.0,1347,962,385,0.7141796585003712,40685.63539017432,0.0,0.0058823529411764705,916.8038177559596,333.11795555555557,False
trash_priority,4,20,1800.0,1347,1018,329,0.7557535263548627,40549.24067773853,0.0,0.003995560488346282,533.9918202404755,299.0805555555555,False
uniform,4,20,1800.0,1347,963,384,0.7149220489977728,40674.50890279458,0.0,0.007158712541620422,1214.8659046791563,269.2763580246914,False
random,5,20,1800.0,1297,922,375,0.7108712413261372,40714.917496807524,0.0,0.008324084350721421,922.8595835867525,216.8963598765432,False
trash_priority,5,20,1800.0,1297,962,335,0.7417116422513492,40622.054672580605,0.0,0.009988901220865706,660.9570393239062,240.61358024691359,False
uniform,5,20,1800.0,1297,952,345,0.7340015420200463,40592.94915117833,0.0,0.006992230854605993,791.7663319902838,244.2707270233196,False
random,6,20,1800.0,1298,949,349,0.7311248073959938,40563.26584565097,0.0,0.005993340732519423,1373.1749634639095,237.31654320987656,False
trash_priority,6,20,1800.0,1298,867,431,0.6679506933744221,40819.0058892252,0.0,0.004772475027746948,560.40874978811,412.5610348422496,False
uniform,6,20,1800.0,1298,893,405,0.6879815100154083,40673.60342747293,0.0,0.007491675915649278,1308.5056161670911,413.7227358024691,False
random,7,20,1800.0,1277,946,331,0.74079874706343,40532.40821151623,0.0,0.00948945615982242,811.416868322853,343.1992614638448,False
trash_priority,7,20,1800.0,1277,931,346,0.7290524667188724,40590.404182343074,0.0,0.006104328523862375,505.08795227401595,371.1091358024691,False
uniform,7,20,1800.0,1277,911,366,0.7133907595927956,40657.859060775714,0.0,0.008490566037735849,983.511859417379,269.49365079365083,False
random,8,20,1800.0,1281,908,373,0.7088212334113974,40680.793065403646,0.0,0.005382907880133185,985.5338443155723,559.8955555555556,False
trash_priority,8,20,1800.0,1281,885,396,0.6908665105386417,40761.61522792172,0.0,0.003940066592674806,505.06039704848047,420.3547862463014,False
uniform,8,20,1800.0,1281,890,391,0.6947697111631538,40737.42445365139,0.0,0.006659267480577136,867.408974181696,352.33209876543214,False
random,9,20,1800.0,1357,951,406,0.7008106116433309,40712.23185475981,0.0,0.015205327413984462,2289.5041615859764,393.7985506172839,False
trash_priority,9,20,1800.0,1357,983,374,0.7243920412675019,40664.964417898715,0.0,0.008268590455049945,648.0530958002462,381.39128888888894,False
uniform,9,20,1800.0,1357,948,409,0.6985998526160648,40700.26903368492,0.0,0.00776914539400666,1172.416693092119,370.44533333333334,False
